班次	起飞时间	起点站	终点站	飞行时间	额定载量	已订票	是否起飞	价格
2021 12 15 315
1	23:30	阿克苏	林芝	1	80	51	是	2502
2	09:30	巴彦淖尔	赣州	1	225	182	是	3171
3	13:40	张掖	长沙	2	80	46	是	438
4	02:20	攀枝花	花土沟	3	103	12	是	3413
5	20:00	昌都	嘉义	1	236	10	是	3004
6	17:50	拉萨	唐山	7	95	13	是	883
7	22:40	鄂尔多斯	榆林	1	106	74	是	3899
8	16:00	吐鲁番	康定	7	100	7	是	2178
9	12:20	邯郸	建三江	7	98	24	是	493
10	16:40	吐鲁番	承德	3	87	46	是	3798
11	23:30	福州	襄阳	1	54	42	是	780
12	01:40	乌兰察布	安顺	5	63	0	是	1587
13	08:00	南充	永州	2	51	17	是	2331
14	12:40	合肥	昆明	6	199	99	是	1484
15	08:00	大理	芒市	1	57	10	是	3051
16	03:30	铜仁	庆阳	7	66	39	是	3439
17	08:20	澜沧	宁波	1	237	26	是	333
18	06:20	广州	日喀则	1	221	215	是	3205
19	09:40	呼和浩特	淮安	1	116	115	是	1614
20	15:00	庆阳	大理	3	229	74	是	1981
21	20:50	烟台	林芝	6	228	193	是	3529
22	22:40	南京	阜阳	1	176	46	是	198
23	02:20	揭阳	澳门	2	76	56	是	3625
24	21:00	梅州	保山	3	66	41	是	680
25	12:50	烟台	呼伦贝尔	7	167	83	是	639
26	04:30	宜春	马祖	1	247	182	是	155
27	02:30	吐鲁番	阿里	5	64	40	是	1652
28	21:40	毕节	黑河	4	189	115	是	213
29	23:10	秦皇岛	包头	5	105	84	是	2362
30	16:30	永州	珠海	7	95	3	是	739
31	11:30	布尔津	普洱	1	119	48	是	3760
32	22:20	锡林浩特	连云港	1	164	69	是	951
33	14:00	伊宁	富蕴	1	228	165	是	1366
34	01:50	白山	汉中	4	69	7	是	170
35	11:10	松原	克拉玛依	4	69	59	是	2464
36	10:40	扎兰屯	南通	1	66	48	是	3521
37	17:00	延吉	呼和浩特	7	122	72	是	2776
38	01:40	青岛	乌拉特中	1	171	148	是	3961
39	11:00	玉树	乌兰浩特	1	65	50	是	1976
40	07:50	澳门	温州	3	65	14	是	1200
41	16:00	高雄	琼海	4	64	26	是	2649
42	22:30	齐齐哈尔	台中	3	74	45	是	955
43	18:50	丹东	大理	7	55	29	是	1240
44	06:30	二连浩特	铜仁	1	176	129	是	3523
45	03:00	九寨沟	毕节	5	58	36	是	536
46	16:10	太原	毕节	5	186	119	是	154
47	02:30	若羌	河池	6	76	17	是	2896
48	07:10	深圳	马祖	1	207	59	是	474
49	01:10	满洲里	绵阳	3	142	119	是	444
50	09:20	东营	南京	5	205	17	是	3472
51	01:50	武夷山	南竿	5	103	90	是	312
52	09:00	北京	井冈山	4	88	14	是	1736
53	12:30	海拉尔	丹东	6	199	1	是	2830
54	16:30	白山	芜湖	5	178	67	是	1874
55	01:20	阿尔山	巴彦淖尔	5	179	93	是	1037
56	06:10	丹东	腾冲	1	233	67	是	2202
57	18:10	乌兰浩特	文山	5	94	65	是	1366
58	12:00	敦煌	乌鲁木齐	3	82	3	是	3903
59	16:30	迪庆	武汉	6	53	21	是	870
60	12:30	北海	琼海	2	70	57	是	259
61	04:40	巴彦淖尔	昭通	2	87	64	是	2941
62	14:30	台中	荆州	7	54	20	是	1132
63	22:40	承德	临沂	1	71	58	是	2543
64	20:40	宁波	六盘水	5	128	66	是	2952
65	09:30	珠海	烟台	3	122	107	是	3652
66	14:50	呼伦贝尔	十堰	3	224	32	是	1392
67	13:40	武隆	大同	3	223	40	是	2004
68	22:30	鸡西	福州	3	142	124	是	3092
69	19:50	且末	阜阳	1	210	54	是	3295
70	20:30	西宁	延吉	6	154	110	是	1923
71	19:50	贵阳	林芝	6	231	124	是	412
72	01:20	乌鲁木齐	额济纳旗	4	201	59	是	2910
73	16:20	东营	和田	4	71	40	是	396
74	23:40	普洱	博乐	7	127	76	是	3463
75	18:10	花土沟	徐州	3	100	52	是	144
76	15:00	阿里	台中	1	194	70	是	2610
77	17:50	徐州	温州	4	83	73	是	1177
78	09:50	松原	乌鲁木齐	7	110	3	是	3199
79	00:30	南充	济宁	1	231	38	是	787
80	06:30	临汾	牡丹江	6	162	84	是	366
81	06:00	岳阳	连云港	1	56	53	是	1074
82	08:00	马公	济宁	6	85	8	是	2777
83	06:20	银川	邯郸	6	205	23	是	2383
84	23:00	黑河	延安	1	59	39	是	2812
85	07:00	神农架	忻州	1	70	14	是	2255
86	05:10	荆州	陇南	4	84	44	是	1052
87	19:40	嘉峪关	宁波	4	174	163	是	1427
88	02:00	佳木斯	宜昌	4	181	26	是	269
89	12:30	塔城	红原	1	61	1	是	1062
90	08:30	二连浩特	香港	1	233	146	是	2858
91	17:20	揭阳	盐城	4	224	168	是	1148
92	07:10	衢州	呼和浩特	3	142	18	是	2556
93	20:00	宜昌	龙岩	3	87	69	是	572
94	08:40	常州	临汾	4	199	120	是	3958
95	22:20	大连	锡林浩特	4	95	85	是	471
96	13:50	乌鲁木齐	马祖	5	243	10	是	2425
97	08:40	承德	鄂尔多斯	2	225	129	是	315
98	15:30	大庆	榆林	6	111	106	是	2849
99	03:30	三明	加格达奇	5	189	149	是	3534
100	13:10	恩施	石河子	1	101	84	是	2601
101	16:30	中卫	通辽	7	146	93	是	1795
102	03:50	上海	腾冲	7	167	158	是	3246
103	00:50	玉树	唐山	7	149	72	是	3684
