班次	起飞时间	起点站	终点站	飞行时间	额定载量	已订票	是否起飞	价格
2022 1 10 200
1	02:20	乌兰浩特	庆阳	3	212	158	是	2336
2	20:10	信阳	霍林郭勒	6	72	42	否	428
3	02:20	大同	巫山	1	62	25	是	1553
4	08:40	红原	秦皇岛	1	177	9	是	707
5	06:20	二连浩特	库尔勒	5	52	26	是	2436
6	13:10	大庆	昭通	6	177	50	是	1515
7	05:30	且末	腾冲	3	144	117	是	695
8	02:30	红原	北海	2	220	158	是	525
9	03:40	林芝	齐齐哈尔	3	170	145	是	1286
10	18:30	固原	宜春	4	152	121	是	2330
11	14:30	洛阳	阿克苏	5	98	90	是	2119
12	04:00	林芝	重庆	4	88	24	是	1755
13	01:30	库车	玉树	3	149	68	是	252
14	02:10	文山	张家口	6	187	86	是	734
15	05:50	沧源	伊宁	6	63	28	是	1894
16	13:40	南宁	榆林	1	55	30	是	2866
17	18:40	哈密	荆州	6	93	8	是	2872
18	15:30	秦皇岛	临沂	5	85	81	是	3805
19	02:30	花土沟	阿拉善左	5	83	2	是	1307
20	15:50	加格达奇	西宁	4	213	42	是	2781
21	13:30	六盘水	高雄	4	113	24	是	2655
22	15:30	连云港	淮安	1	64	11	是	2311
23	20:50	龙岩	信阳	3	61	0	否	2096
24	16:40	安顺	临沂	2	85	52	是	2397
25	09:00	银川	花土沟	4	90	73	是	1569
26	19:50	固原	库车	1	158	49	否	1757
27	12:40	厦门	喀什	1	219	146	是	3213
28	01:30	南竿	威海	1	92	87	是	2305
29	23:20	梧州	天津	1	250	159	否	312
30	19:40	台中	齐齐哈尔	6	246	145	否	200
31	10:30	拉萨	通辽	4	136	10	是	823
32	18:00	南竿	包头	6	110	79	是	1069
33	07:50	果洛	西安	6	50	38	是	2518
34	22:10	敦煌	芒市	1	138	78	否	2994
35	14:20	桂林	庆阳	7	163	134	是	2788
36	18:20	德令哈	若羌	6	136	123	是	1709
37	01:20	郑州	博乐	7	70	39	是	1792
38	14:00	百色	秦皇岛	1	79	55	是	2820
39	08:30	临沂	湛江	1	193	122	是	1219
40	18:40	中卫	银川	6	186	126	是	454
41	04:40	牡丹江	红原	3	83	25	是	955
42	09:20	三亚	荔波	3	135	8	是	418
43	23:50	通辽	池州	1	53	37	否	885
44	19:40	长治	兰州	1	59	14	否	1992
45	18:00	景德镇	鄂尔多斯	2	119	114	是	3282
46	00:10	宜宾	白城	4	214	178	是	1843
47	21:00	忻州	建三江	1	53	47	否	3567
48	19:00	鄂尔多斯	重庆	2	213	67	是	1742
49	09:50	佳木斯	祁连	3	66	36	是	500
50	11:10	邵阳	温州	1	68	44	是	838
51	08:30	加格达奇	锦州	5	148	100	是	458
52	10:30	襄阳	张家界	4	223	141	是	2056
53	10:30	南京	红原	7	121	44	是	3831
54	18:30	盐城	中卫	4	212	57	是	1886
55	17:50	塔城	厦门	2	248	191	是	3009
56	18:30	鸡西	日照	1	97	90	是	122
57	13:30	宜昌	深圳	7	210	197	是	1909
58	20:40	琼海	普洱	3	224	222	否	1158
59	00:50	康定	义乌	6	97	52	是	1601
60	10:50	西昌	常州	5	67	43	是	3661
61	18:50	临汾	庆阳	1	81	1	是	2865
62	19:20	布尔津	衡阳	7	232	46	否	804
63	04:40	林芝	大庆	1	86	18	是	589
64	09:00	巴中	绵阳	2	204	117	是	3727
65	16:20	天水	安庆	5	52	3	是	141
66	05:20	西安	兴义	7	93	30	是	3425
67	14:30	荔波	普洱	1	110	63	是	785
68	08:10	青岛	无锡	1	89	1	是	187
69	00:00	大理	岳阳	5	99	93	是	954
70	11:20	西昌	张家界	5	75	2	是	833
71	15:30	运城	格尔木	1	97	57	是	3451
72	15:30	九江	红原	7	175	173	是	3946
73	10:00	吕梁	西双版纳	7	191	140	是	2135
74	13:40	阜阳	台北	7	177	34	是	2061
75	13:00	九寨沟	拉萨	1	85	29	是	584
76	21:30	拉萨	信阳	7	206	181	否	1395
77	22:50	巴彦淖尔	敦煌	4	93	1	否	2287
78	18:50	黄山	兴义	6	190	25	是	3830
79	16:50	昆明	霍林郭勒	6	80	43	是	3876
80	04:00	无锡	榆林	7	224	165	是	1868
81	04:40	沈阳	文山	4	204	131	是	1327
82	20:40	乌鲁木齐	铜仁	2	228	147	否	2355
83	02:30	朝阳	安庆	2	120	40	是	1471
84	02:40	北海	沧源	1	89	16	是	1426
85	03:00	桂林	郑州	7	51	18	是	1909
86	09:00	洛阳	扬州	3	226	175	是	127
87	01:10	泉州	香港	5	51	47	是	1008
88	00:20	攀枝花	武隆	3	95	35	是	3827
89	21:10	洛阳	马祖	5	74	1	否	1617
90	10:40	额济纳旗	昆明	1	159	78	是	1971
91	15:00	百色	敦煌	7	203	1	是	3540
92	22:10	石家庄	庆阳	6	217	129	否	2041
93	08:20	白城	阜阳	5	116	54	是	110
94	07:00	金昌	齐齐哈尔	3	229	97	是	1763
95	18:50	安庆	保山	1	222	21	是	2371
96	20:20	达州	上海	1	100	70	否	2252
97	05:20	南通	达州	1	155	21	是	1102
98	15:20	南阳	金门	2	201	49	是	2956
99	19:30	沈阳	菏泽	1	164	43	否	2502
100	10:20	荆门	安顺	6	187	108	是	618
101	04:40	三亚	北海	7	99	54	是	3639
102	20:10	柳州	阿克苏	6	88	51	否	132
103	09:30	邵阳	洛阳	6	219	208	是	626
104	23:40	吐鲁番	太原	3	60	50	否	232
105	20:10	阿尔山	湛江	7	180	0	否	1300
106	04:50	果洛	唐山	7	87	2	是	2973
107	06:20	哈尔滨	朝阳	3	94	9	是	1691
108	12:10	芒市	榆林	2	77	20	是	2921
109	15:00	佳木斯	岳阳	3	107	66	是	1741
110	00:10	西双版纳	衡阳	5	126	0	是	690
111	16:20	莎车	乌兰浩特	7	155	112	是	157
112	17:50	唐山	哈密	1	100	75	是	3721
113	03:00	宜宾	澜沧	2	114	26	是	1069
114	16:20	包头	康定	7	88	27	是	169
115	08:20	梅州	济宁	2	87	20	是	820
116	14:30	塔城	凯里	1	199	29	是	3848
117	01:20	忻州	洛阳	3	165	121	是	1366
118	04:30	阿里	沈阳	6	118	49	是	452
119	22:10	保山	伊春	4	121	3	否	3049
120	11:10	宜春	长治	1	238	108	是	1526
121	01:50	玉树	永州	7	218	83	是	408
122	03:10	伊春	长春	2	227	66	是	3911
123	02:20	秦皇岛	恩施	5	195	77	是	743
124	15:30	呼和浩特	台中	3	90	24	是	399
125	02:30	揭阳	长治	6	140	48	是	2703
126	23:00	克拉玛依	淮安	3	135	17	否	2694
127	11:00	西安	昌都	4	66	47	是	1881
128	19:40	台北	井冈山	5	74	70	否	3600
129	06:30	宁蒗	建三江	1	180	101	是	3695
130	14:30	乌兰察布	台北	1	245	154	是	3783
131	11:50	攀枝花	九江	2	87	17	是	3653
132	23:50	合肥	银川	1	189	65	否	2717
133	19:40	吐鲁番	林芝	4	245	23	否	1558
134	01:20	台北	厦门	3	91	1	是	130
135	00:00	大连	芜湖	7	81	70	是	459
136	19:30	九江	库车	4	129	115	否	272
137	18:50	日照	敦煌	4	59	57	是	2166
138	00:50	舟山	鞍山	3	117	110	是	2869
139	11:50	和田	南阳	3	190	154	是	3161
140	07:50	北京	巴彦淖尔	1	134	60	是	3802
141	11:10	赤峰	阿里	6	84	3	是	1360
142	02:50	怀化	日喀则	7	171	152	是	2619
