班次	起飞时间	起点站	终点站	飞行时间	额定载量	已订票	是否起飞	价格
2022 1 12 50002
3	06:40	阿里	广元	7	118	97	是	2672
4	21:20	南阳	荔波	1	121	49	是	2462
5	05:00	中卫	攀枝花	5	186	184	是	1680
6	00:20	康定	襄阳	3	135	57	是	348
7	22:30	汉中	济南	4	89	46	是	1066
8	21:10	广州	荆门	6	179	43	是	910
9	20:10	高雄	南通	5	152	99	是	952
10	08:50	锡林浩特	通辽	5	70	4	是	2349
11	07:10	台东	淮安	1	211	128	是	2728
12	15:50	六盘水	花莲	7	214	15	是	1229
13	00:40	琼海	库车	2	227	190	是	403
14	06:00	富蕴	海拉尔	7	174	36	是	2879
15	16:40	拉萨	敦煌	1	218	113	是	690
16	12:00	庆阳	三明	4	126	17	是	899
17	09:30	延吉	铜仁	4	100	13	是	630
18	19:50	昆明	榆林	1	89	48	是	3362
19	10:00	阿拉善左	中卫	1	109	70	是	633
20	03:00	揭阳	昆明	3	137	30	是	2804
21	21:00	吐鲁番	白城	4	83	25	是	1152
22	14:00	台南	常州	1	187	92	是	143
23	12:10	嘉峪关	赤峰	1	116	2	是	3159
24	12:00	安庆	攀枝花	6	56	40	是	1712
25	14:00	长春	芜湖	1	90	17	是	2134
26	23:30	昭通	遵义	7	204	121	是	3934
27	06:10	阜阳	白山	4	212	155	是	3992
28	07:00	阿尔山	淮安	4	86	7	是	2556
29	11:10	锡林浩特	德令哈	3	87	52	是	3623
30	14:30	铜仁	丹东	6	147	89	是	366
31	16:30	义乌	白山	1	95	88	是	261
32	21:10	哈尔滨	三明	6	98	88	是	3670
33	21:40	西昌	齐齐哈尔	3	60	33	是	3071
34	04:20	林芝	惠州	5	225	106	是	3719
35	19:30	兰州	腾冲	5	237	226	是	2503
36	21:20	乌海	博乐	3	215	191	是	1753
37	11:50	松原	承德	1	185	105	是	193
38	00:00	东营	西宁	2	188	1	是	912
39	22:20	张家口	五大连池	4	82	79	是	1893
40	15:30	南竿	和田	3	51	18	是	2710
