班次	起飞时间	起点站	终点站	飞行时间	额定载量	已订票	是否起飞	价格
2022 1 9 7698
1	02:00	文山	台北	1	170	85	是	1354
2	06:40	宜春	河池	1	193	79	是	1693
3	13:00	连云港	霍林郭勒	5	63	14	是	1600
4	21:20	延吉	西安	1	107	48	否	594
5	19:00	锡林浩特	厦门	1	206	60	否	1878
6	21:20	祁连	昆明	5	80	10	否	3015
7	00:50	海口	普洱	7	92	1	是	1370
8	11:10	义乌	锦州	6	123	101	是	780
9	01:20	日照	庆阳	1	249	41	是	2139
10	03:10	乌兰察布	芒市	6	127	8	是	3022
11	12:20	库车	桂林	7	84	44	是	461
12	11:20	惠州	泉州	4	60	23	是	2757
13	05:20	榆林	拉萨	2	64	23	是	443
14	16:50	唐山	重庆	3	108	11	否	3255
15	09:50	兴义	佳木斯	6	85	47	是	3076
16	06:50	桂林	郑州	2	219	104	是	2340
17	05:20	朝阳	嘉峪关	7	68	63	是	2129
18	04:00	张掖	红原	5	239	27	是	1041
19	15:20	马祖	琼海	2	91	75	否	1965
20	21:00	文山	延吉	1	138	1	否	3892
21	11:40	文山	呼和浩特	5	51	31	是	879
22	23:50	怀化	敦煌	2	220	166	否	538
23	22:30	梅州	扬州	4	112	70	否	707
24	23:20	淮安	营口	6	182	16	否	1843
25	05:50	湛江	大理	5	116	19	是	1408
26	09:00	香港	怀化	3	215	111	是	2452
27	22:00	六盘水	南通	5	81	19	否	1911
28	11:40	安庆	常德	5	200	162	是	1656
29	21:20	锦州	祁连	1	215	12	否	218
30	02:50	通辽	营口	1	60	7	是	1758
31	07:30	宁蒗	庆阳	4	57	42	是	2254
32	11:00	锦州	温州	3	56	12	是	378
33	01:50	乌鲁木齐	陇南	5	86	26	是	1402
34	18:50	沧源	琼海	2	222	101	否	2539
35	17:10	阿里	海口	1	134	77	否	2201
36	13:20	兰州	果洛	1	150	47	是	1328
37	11:00	康定	安庆	3	244	47	是	838
38	09:50	黄山	南京	7	83	70	是	3148
39	12:10	哈尔滨	博乐	3	170	20	是	1806
40	19:10	合肥	天津	1	55	23	否	2652
41	18:40	邯郸	毕节	4	101	69	否	2956
42	08:30	松原	西宁	1	171	150	是	103
43	17:30	乌拉特中	济南	4	85	8	否	2634
44	12:50	金门	白城	7	72	30	是	2286
45	06:50	乌兰浩特	西宁	7	84	41	是	1493
46	21:30	德令哈	康定	6	70	46	否	2079
47	14:10	巴中	河池	3	223	59	是	2595
48	00:40	三明	齐齐哈尔	5	173	87	是	1753
49	23:50	昆明	西宁	4	244	206	否	3496
50	10:00	五大连池	佛山	1	92	60	是	2890
51	05:40	南京	梅州	7	188	48	是	1870
52	07:20	武隆	佛山	4	120	23	是	187
53	21:50	阿克苏	海拉尔	3	53	12	否	1318
54	05:00	安顺	上饶	6	249	181	是	2785
55	20:00	琼海	加格达奇	2	101	100	否	228
56	01:20	台东	五大连池	3	185	157	是	3150
57	08:50	黔江	大同	4	138	125	是	3866
58	00:10	东营	花土沟	7	60	25	是	378
59	05:30	金门	泸州	3	116	82	是	3710
60	22:50	延安	洛阳	1	241	97	否	1350
61	00:30	阿拉善右	青岛	7	108	72	是	3830
62	17:10	康定	若羌	5	88	7	否	2638
63	22:30	万州	福州	3	102	78	否	1179
64	22:10	衡阳	芒市	1	84	2	否	3168
65	05:20	石河子	哈密	4	88	51	是	731
66	10:50	迪庆	塔城	7	217	174	是	2794
67	01:50	塔城	杭州	1	137	71	是	2054
68	02:00	大同	拉萨	7	113	72	是	871
69	23:20	张家口	中卫	3	76	8	否	3402
70	10:10	敦煌	林芝	5	66	3	是	3391
71	13:40	柳州	六盘水	3	201	87	是	1056
72	08:20	芒市	南宁	6	85	41	是	136
73	15:00	吕梁	若羌	4	221	187	否	3699
74	01:10	南充	神农架	7	248	66	是	1039
75	02:20	义乌	额济纳旗	4	96	0	是	1461
76	17:00	台东	连云港	5	71	23	否	2789
77	11:00	五大连池	大庆	1	92	67	是	3550
78	06:50	香港	青岛	5	54	6	是	897
79	07:30	中卫	青岛	3	79	49	是	3091
80	14:10	阜阳	金门	4	67	37	是	1323
81	12:40	安庆	泉州	5	115	56	是	2192
82	19:30	丹东	长治	7	158	80	否	1435
83	14:50	澜沧	黑河	1	75	3	否	3074
84	05:40	桂林	承德	3	131	6	是	381
85	03:50	六盘水	忻州	4	159	21	是	3409
86	23:00	鄂尔多斯	稻城	5	78	9	否	1669
87	06:10	庆阳	霍林郭勒	4	101	16	是	1371
88	16:00	昆明	果洛	3	170	40	否	2016
89	06:30	林芝	库车	6	146	55	是	3537
90	10:10	高雄	运城	1	97	88	是	1166
91	08:00	夏河	乌兰浩特	6	234	52	是	211
92	13:40	武隆	长沙	2	128	80	是	3306
93	07:10	北海	合肥	1	59	1	是	1735
94	13:50	台中	库车	6	58	54	是	2319
95	10:20	沧源	喀什	5	200	33	是	3890
96	06:50	南京	库车	1	111	22	是	921
97	05:50	包头	毕节	7	56	8	是	3438
98	22:00	巴中	荔波	1	145	41	否	1033
99	05:10	丽江	河池	3	238	17	是	2013
100	02:40	澜沧	北京	1	101	98	是	179
101	15:50	博乐	沈阳	7	247	209	否	1663
102	14:00	武夷山	且末	7	123	64	是	3081
103	01:30	临汾	青岛	7	213	15	是	735
104	08:20	文山	太原	1	91	88	是	1028
105	15:40	哈密	赣州	1	185	96	否	460
106	13:20	临沂	达州	1	99	74	是	2222
107	06:20	武夷山	阿勒泰	1	199	135	是	280
108	02:50	九寨沟	哈尔滨	1	250	198	是	3602
109	12:40	六盘水	红原	4	66	2	是	1948
110	04:00	揭阳	且末	1	154	61	是	1326
111	05:10	武夷山	无锡	1	97	10	是	3900
112	07:30	汉中	北海	7	118	68	是	2664
113	22:10	汉中	运城	2	60	32	否	1551
114	09:40	福州	巫山	3	65	63	是	1532
115	04:50	乌兰察布	南宁	6	183	43	是	1673
116	23:50	重庆	昆明	7	50	38	否	3148
117	13:20	芜湖	天水	2	173	78	是	2485
118	22:10	西双版纳	临沧	1	153	145	否	2808
119	05:00	泉州	东营	2	192	67	是	231
120	18:30	鸡西	神农架	7	241	234	否	2536
121	01:30	济宁	惠州	4	108	71	是	2034
122	09:10	日照	西双版纳	4	231	71	是	148
123	22:00	武隆	富蕴	4	213	135	否	1991
124	08:30	花土沟	二连浩特	6	165	36	是	3618
125	02:40	北海	锡林浩特	1	136	0	是	2030
126	20:50	大同	成都	3	103	67	否	138
127	01:20	宁波	博乐	4	180	84	是	200
128	17:20	威海	宜宾	6	178	27	否	1733
129	08:40	张掖	柳州	6	172	149	是	854
130	22:30	伊宁	福州	6	224	85	否	3632
131	13:00	运城	扎兰屯	3	130	76	是	655
132	06:40	满洲里	腾冲	6	82	63	是	2289
133	12:10	温州	无锡	6	234	127	是	2958
134	14:10	大连	塔城	5	81	51	是	2311
135	18:00	上海	通辽	7	61	43	否	179
136	05:30	赤峰	连云港	6	105	60	是	2482
137	04:00	黄山	巴彦淖尔	1	74	62	是	1338
138	14:20	阿拉善左	普洱	1	93	88	是	3648
139	23:10	澳门	泉州	1	71	5	否	3186
140	23:20	张家界	芜湖	6	75	59	否	157
141	01:50	延安	银川	5	74	2	是	783
142	05:40	香港	南京	7	172	21	是	1939
143	22:10	湛江	马公	1	106	4	否	1876
144	05:20	二连浩特	龙岩	6	67	4	是	350
145	20:00	中卫	博乐	3	60	30	否	1669
146	03:10	百色	长春	2	107	57	是	3276
147	22:50	鞍山	富蕴	1	101	94	否	1762
148	13:10	鞍山	安顺	7	59	21	是	2963
149	03:00	北海	广州	4	200	175	是	3402
150	16:20	阿尔山	喀什	1	188	64	否	1534
151	15:30	长沙	三明	4	203	38	否	902
152	09:50	佛山	菏泽	7	89	27	是	806
153	00:10	大连	通化	6	105	103	是	1934
154	04:20	九寨沟	昆明	4	215	112	是	1421
155	17:30	舟山	布尔津	7	69	44	否	2665
156	15:20	林芝	常州	7	69	1	否	2382
157	17:40	布尔津	东营	3	67	63	否	809
158	15:30	乌海	马祖	4	200	105	否	189
159	12:20	大理	中卫	7	147	101	是	487
160	09:20	喀什	台东	7	202	27	是	1698
161	00:50	临沧	库尔勒	1	99	4	是	1078
162	01:10	西安	重庆	7	57	40	是	404
163	09:00	齐齐哈尔	敦煌	6	143	23	是	2075
164	22:00	运城	哈密	1	147	115	否	352
165	04:00	莎车	杭州	2	92	9	是	140
