班次	起飞时间	起点站	终点站	飞行时间	额定载量	已订票	是否起飞	价格
2021 12 1 384
1	22:10	宁蒗	赣州	7	250	141	是	3164
2	11:40	凯里	龙岩	7	90	77	是	947
3	16:50	天津	上海	2	65	60	是	1723
4	23:40	五大连池	东营	5	220	30	是	480
5	03:10	合肥	宁蒗	4	200	2	是	1221
6	05:10	庆阳	芒市	4	140	2	是	2273
7	02:30	岳阳	黑河	3	168	78	是	2092
8	10:30	西双版纳	昆明	2	244	106	是	3807
9	03:30	承德	博乐	2	83	55	是	2927
10	04:50	衡阳	建三江	4	179	112	是	2565
11	03:30	宜昌	祁连	7	129	80	是	2848
12	00:20	伊春	延吉	6	159	4	是	3572
13	15:00	忻州	南竿	1	134	100	是	2565
14	17:30	岳阳	五大连池	6	103	74	是	1766
15	04:30	长治	宁蒗	1	131	120	是	265
16	22:50	林芝	兴义	1	91	69	是	2092
17	14:10	六盘水	黔江	7	209	161	是	677
18	20:40	昆明	景德镇	4	233	7	是	2080
19	04:10	常德	北京	7	66	37	是	2397
20	07:00	普洱	惠州	2	65	0	是	3179
21	01:00	德令哈	格尔木	6	83	47	是	1028
22	12:40	喀什	阜阳	3	232	148	是	3409
23	03:30	达州	邵阳	1	71	16	是	2994
24	16:50	迪庆	建三江	2	99	39	是	3382
25	16:10	盐城	济南	6	94	65	是	1636
26	09:00	库尔勒	怀化	5	99	90	是	2192
27	03:20	温州	十堰	1	132	109	是	2826
28	20:00	凯里	金昌	1	185	152	是	3992
29	10:40	杭州	建三江	6	74	27	是	1261
30	05:40	烟台	榆林	2	144	100	是	2088
31	02:50	台南	伊宁	4	114	6	是	2642
32	09:30	银川	长治	6	60	51	是	3797
33	23:10	南竿	银川	7	190	158	是	161
34	13:10	衡阳	桂林	1	209	5	是	256
35	08:10	金门	西昌	4	147	135	是	688
36	15:20	齐齐哈尔	威海	1	109	43	是	1564
37	16:20	桂林	吕梁	1	78	32	是	1814
38	12:40	南昌	牡丹江	3	194	106	是	1832
39	14:50	盐城	淮安	1	79	34	是	712
40	23:20	长春	井冈山	3	99	53	是	1559
41	21:10	且末	长治	2	99	91	是	1473
42	16:30	海拉尔	鄂尔多斯	7	197	110	是	2211
43	19:30	漠河	景德镇	2	92	44	是	2439
44	09:00	唐山	宜昌	4	221	54	是	2308
45	21:00	阿克苏	东营	5	97	95	是	195
46	17:10	马祖	石家庄	6	100	16	是	1527
47	16:10	榆林	布尔津	1	91	59	是	3852
48	12:50	宜昌	广元	3	198	153	是	1552
49	01:50	朝阳	库车	1	111	96	是	2412
50	00:50	哈密	广元	1	207	100	是	652
51	21:10	承德	昭通	2	65	17	是	2152
52	09:50	阿拉善左	北京	1	87	39	是	3295
53	09:10	呼和浩特	安顺	3	78	44	是	1135
54	13:00	六盘水	南竿	4	153	114	是	1960
55	17:50	沧源	西昌	1	247	223	是	143
56	16:00	台南	马公	5	232	110	是	2757
57	20:50	扎兰屯	昭通	1	243	170	是	1716
58	15:20	南通	桂林	3	224	9	是	3039
59	13:40	日照	岳阳	5	93	24	是	103
60	23:30	临汾	赤峰	1	230	37	是	2938
61	02:20	库尔勒	腾冲	5	72	57	是	3103
62	14:10	温州	高雄	4	172	113	是	498
63	08:50	金门	鸡西	5	57	51	是	692
64	01:50	富蕴	巫山	2	193	118	是	1295
65	20:20	长治	宁蒗	2	81	52	是	225
66	20:00	澳门	济宁	1	77	3	是	446
67	19:50	百色	抚远	1	239	198	是	2067
68	20:40	兴义	景德镇	2	102	19	是	787
69	02:30	十堰	乌鲁木齐	1	166	73	是	3029
70	23:20	盐城	扬州	6	185	68	是	3450
71	22:00	十堰	乌海	3	69	14	是	1783
72	01:50	太原	伊春	1	59	6	是	3390
73	03:20	宜春	井冈山	6	220	177	是	3920
74	23:10	永州	阿里	7	53	4	是	332
75	00:00	九江	九寨沟	1	154	23	是	2037
76	07:10	迪庆	南通	6	201	8	是	1537
77	08:00	义乌	宜宾	5	221	157	是	2322
78	21:40	襄阳	塔城	2	249	153	是	179
79	09:00	佛山	固原	3	81	17	是	1961
80	22:00	义乌	金门	1	59	15	是	1923
81	01:00	金昌	台州	5	93	27	是	2398
82	16:40	巴彦淖尔	汉中	1	171	3	是	2534
83	03:10	巴中	运城	2	225	174	是	1228
84	08:50	抚远	额济纳旗	4	115	74	是	3980
85	04:20	梧州	昌都	5	71	24	是	3532
86	09:50	白城	富蕴	1	165	127	是	2717
87	11:30	扬州	济南	5	190	104	是	1970
88	19:10	广州	黔江	5	157	54	是	3877
