班次	起飞时间	起点站	终点站	飞行时间	额定载量	已订票	是否起飞	价格
2021 12 1 204
1	14:40	义乌	黎平	5	132	11	否	1218
2	12:50	乌拉特中	澜沧	5	55	0	否	405
3	15:30	广州	拉萨	2	208	94	否	1474
4	04:20	湛江	宜春	6	144	128	否	566
5	17:50	呼伦贝尔	武夷山	5	166	54	否	2445
6	02:20	潍坊	天津	1	138	46	否	2778
7	05:50	南通	台东	5	150	24	否	3324
8	23:30	达州	常州	5	156	84	否	129
9	04:30	临汾	果洛	5	180	89	否	219
10	03:40	海口	呼伦贝尔	5	58	12	否	3906
11	15:40	佛山	潍坊	4	100	10	否	3187
12	15:00	武汉	襄阳	3	51	45	否	252
13	22:30	揭阳	泉州	5	90	57	否	1106
14	12:50	塔城	温州	6	164	83	否	1700
15	12:20	岳阳	鄂尔多斯	1	84	32	否	235
16	21:10	果洛	巴彦淖尔	7	180	16	否	2315
17	17:40	万州	乌鲁木齐	7	103	81	否	123
18	00:00	六盘水	金门	1	144	135	否	250
19	06:20	福州	巴中	2	83	35	否	2853
20	08:40	徐州	南京	3	187	13	否	150
21	11:30	广州	漠河	1	63	35	否	1504
22	06:00	鞍山	北京	7	85	58	否	3137
23	03:30	哈尔滨	香港	7	85	19	否	3119
24	02:20	乌海	大庆	5	212	114	否	146
25	14:30	霍林郭勒	衢州	5	54	7	否	2692
26	21:20	梧州	芒市	7	194	116	否	871
27	12:20	上海	博乐	2	87	47	否	3847
28	17:50	桂林	三明	6	100	89	否	2264
29	00:40	二连浩特	富蕴	1	211	74	否	1588
30	22:30	铜仁	白山	3	106	37	否	2703
31	17:20	赤峰	上海	1	233	160	否	2021
32	06:40	九江	无锡	6	70	55	否	278
33	01:10	秦皇岛	张家界	6	69	14	否	1304
34	09:10	武汉	盐城	1	80	54	否	2333
35	02:00	三明	凯里	6	79	15	否	2124
36	01:20	绵阳	抚远	5	208	102	否	3257
37	11:00	南阳	张掖	3	76	75	否	2169
38	14:50	包头	额济纳旗	2	246	219	否	1157
39	14:50	神农架	和田	7	225	190	否	1847
40	10:20	乌海	白城	2	220	153	否	3102
41	20:30	康定	汉中	2	162	117	否	2481
42	05:50	揭阳	澜沧	6	187	143	否	3306
43	07:20	常德	龙岩	5	154	48	否	1060
44	16:50	大连	宜昌	7	158	43	否	2651
45	06:30	景德镇	兰州	1	99	30	否	2717
46	05:40	连云港	景德镇	5	83	28	否	1359
47	11:00	盐城	佛山	7	129	67	否	642
48	05:40	常州	邯郸	2	55	20	否	231
49	15:10	张家界	黎平	1	81	76	否	3604
50	00:00	广元	哈尔滨	6	61	16	否	356
51	19:30	上饶	通化	7	164	134	否	2131
52	23:00	潍坊	德令哈	4	191	110	否	349
53	00:50	长春	琼海	2	223	16	否	142
54	20:20	怀化	金昌	3	229	154	否	3306
55	06:00	呼和浩特	池州	3	245	174	否	173
56	23:30	上海	且末	5	52	1	否	3760
57	08:50	珠海	襄阳	4	80	33	否	2431
58	18:50	长沙	济宁	2	61	57	否	913
59	06:20	威海	安顺	4	153	40	否	3193
60	21:40	金昌	西双版纳	4	194	58	否	635
61	01:00	宜宾	遵义	6	109	31	否	197
62	09:20	九江	哈密	4	69	47	否	2616
63	01:40	成都	延吉	2	190	138	否	2945
64	08:20	澜沧	黑河	2	219	46	否	640
65	17:00	常州	怀化	2	132	72	否	345
66	11:20	福州	新源	1	96	52	否	1544
67	17:30	舟山	加格达奇	5	150	58	否	1720
68	02:20	南京	吐鲁番	1	209	204	否	2652
69	09:40	临汾	临沧	6	91	87	否	451
70	14:50	秦皇岛	建三江	1	54	53	否	3286
71	04:00	惠州	夏河	5	238	43	否	1402
72	01:50	文山	吕梁	4	155	65	否	484
73	09:20	迪庆	台南	3	188	176	否	626
74	11:20	乌海	长治	3	137	80	否	918
75	19:20	通辽	大连	1	200	99	否	3569
76	22:00	呼和浩特	深圳	7	232	112	否	1923
77	01:00	日照	三亚	1	55	48	否	3056
78	18:40	荆门	大理	1	72	28	否	1695
79	05:30	菏泽	广元	2	80	3	否	3011
80	01:20	台南	柳州	1	107	36	否	1487
81	00:30	广元	兰州	7	147	69	否	3896
82	03:40	鞍山	武汉	1	69	53	否	3603
83	04:20	十堰	荆门	1	105	24	否	2975
84	10:00	乌兰察布	日喀则	1	81	3	否	3871
85	16:00	格尔木	百色	7	235	118	否	2239
86	06:10	丽江	岳阳	3	183	15	否	1081
87	06:20	伊宁	宜春	3	93	41	否	677
88	16:30	宁蒗	阿拉善左	1	137	115	否	3741
89	23:10	普洱	荔波	7	137	81	否	672
90	10:40	武隆	霍林郭勒	1	125	3	否	1025
91	12:00	台中	济南	3	185	110	否	1032
92	20:30	锦州	高雄	6	117	91	否	2498
93	06:20	石家庄	长沙	1	141	22	否	3954
94	08:00	武隆	杭州	1	227	49	否	1063
95	06:10	东营	大庆	7	180	7	否	3687
96	22:10	济宁	和田	3	154	1	否	3719
97	13:00	建三江	临沧	2	218	161	否	3577
98	16:40	塔城	忻州	4	177	155	否	1755
99	04:00	张家界	哈尔滨	1	193	56	否	3979
100	22:20	花土沟	北京	7	68	55	否	2469
101	11:50	恩施	嘉峪关	4	220	213	否	249
102	02:30	唐山	鸡西	3	186	115	否	1637
103	05:00	淮安	嘉义	6	89	44	否	3224
104	12:50	凯里	盐城	1	134	73	否	752
105	10:40	张掖	阿拉善右	1	68	42	否	3892
106	22:10	泉州	邯郸	3	120	78	否	459
107	19:00	西安	兴义	1	112	14	否	1669
108	16:50	阿克苏	哈密	2	171	162	否	3306
109	08:40	三亚	西安	4	57	48	否	3357
110	03:30	上海	万州	7	115	81	否	3183
111	12:10	香港	合肥	1	164	104	否	3815
112	01:00	无锡	香港	3	95	36	否	2557
113	22:40	西双版纳	金门	1	98	30	否	2235
114	02:00	达州	乌拉特中	6	191	62	否	2465
115	09:10	安顺	长沙	6	55	24	否	337
116	16:30	衢州	黄山	2	117	64	否	911
117	04:10	义乌	建三江	7	110	7	否	1327
118	11:10	西安	荆州	7	72	54	否	177
119	17:30	朝阳	阜阳	7	90	89	否	3886
120	05:00	哈尔滨	阿拉善左	7	241	133	否	1224
121	18:00	凯里	拉萨	6	110	94	否	1129
122	22:50	常州	合肥	3	57	49	否	1683
123	14:00	新源	盐城	5	120	11	否	321
124	16:20	齐齐哈尔	安庆	4	104	85	否	3569
125	23:00	嘉义	吐鲁番	5	181	78	否	110
126	11:30	夏河	布尔津	2	124	69	否	2519
127	22:50	宁波	芒市	1	237	224	否	1481
128	09:50	盐城	康定	7	227	141	否	468
129	21:50	台中	石河子	6	202	25	否	1954
130	10:00	天水	宜昌	4	70	32	否	3439
131	19:10	湛江	汉中	1	81	8	否	1375
132	15:40	若羌	红原	2	61	31	否	2422
133	10:40	长春	抚远	7	186	117	否	2797
134	10:00	邯郸	贵阳	1	90	77	否	3927
135	03:50	岳阳	澜沧	4	151	136	否	1507
136	03:00	北京	北海	3	79	5	否	380
137	07:00	承德	巫山	1	165	105	否	3230
138	04:20	乌鲁木齐	北海	1	84	76	否	3162
139	15:20	万州	迪庆	6	125	2	否	3835
140	05:00	长治	河池	2	99	2	否	1752
141	11:00	红原	义乌	4	52	17	否	1817
142	16:20	阜阳	黄山	2	212	30	否	777
143	06:00	济宁	郑州	4	176	162	否	2769
144	05:50	阜阳	乌兰浩特	1	82	0	否	3916
145	16:10	沈阳	花莲	7	171	71	否	2337
146	06:40	九寨沟	郑州	7	74	18	否	3900
147	10:00	绵阳	临汾	7	75	51	否	1936
148	03:50	乌鲁木齐	舟山	7	173	143	否	1464
