班次	起飞时间	起点站	终点站	飞行时间	额定载量	已订票	是否起飞	价格
2021 12 2 65
1	05:20	梅州	重庆	1	58	0	否	1362
2	09:50	重庆	金昌	1	56	39	否	1315
3	09:20	金昌	玉树	3	78	45	否	3083
4	10:40	宜春	忻州	7	216	119	否	1210
5	05:00	成都	温州	7	228	165	否	1046
6	01:10	鸡西	安顺	5	207	146	否	2976
7	07:50	襄阳	潍坊	2	57	28	否	2008
8	12:40	青岛	黄山	7	93	69	否	401
9	10:20	北海	绵阳	1	85	35	否	1723
10	23:40	丽江	鄂尔多斯	4	65	23	否	1182
11	05:00	秦皇岛	敦煌	6	100	36	否	181
12	16:40	和田	三明	7	204	23	否	337
13	03:20	黄山	高雄	2	214	152	否	1404
14	19:40	柳州	黄山	6	213	142	否	1463
15	11:10	稻城	万州	1	171	50	否	2537
16	14:00	盐城	神农架	6	144	113	否	629
17	08:20	舟山	恩施	5	238	170	否	747
18	14:30	青岛	威海	3	123	87	否	2475
19	17:30	九江	乌兰察布	6	142	20	否	498
20	06:40	乌兰察布	合肥	4	229	227	否	299
21	09:10	莎车	贵阳	1	198	5	否	2863
22	22:50	阜阳	洛阳	4	100	91	否	362
23	15:40	义乌	大同	1	152	101	否	3540
24	17:40	邯郸	西宁	1	241	218	否	3296
25	22:00	南充	新源	5	244	102	否	3028
26	04:50	洛阳	西昌	7	82	61	否	1160
27	05:00	兴义	布尔津	2	170	116	否	2161
28	13:30	揭阳	梅州	4	106	100	否	779
29	07:30	阿克苏	呼和浩特	3	166	97	否	2967
30	01:20	阿里	盐城	6	71	66	否	592
31	11:20	加格达奇	二连浩特	7	85	18	否	3034
32	04:00	佳木斯	布尔津	7	56	20	否	1035
33	04:20	乌兰察布	岳阳	2	202	137	否	574
34	03:10	邵阳	布尔津	7	141	116	否	829
35	17:40	果洛	大连	2	67	25	否	2515
36	12:30	怀化	南京	2	106	57	否	1841
37	06:50	舟山	黄山	2	90	75	否	1154
38	12:00	铜仁	忻州	4	93	83	否	2693
39	07:10	荆州	上饶	1	203	109	否	2654
40	15:20	济南	宜宾	3	72	27	否	1341
41	03:00	库尔勒	加格达奇	3	242	16	否	1219
42	18:30	池州	深圳	3	77	59	否	1450
43	14:50	天水	宜宾	6	225	154	否	907
44	11:50	南竿	广元	3	68	41	否	3169
45	04:40	伊宁	黎平	6	234	49	否	2208
46	15:10	梧州	成都	6	194	189	否	1301
47	20:00	天水	巴彦淖尔	1	168	70	否	418
48	18:10	邵阳	荆州	2	224	0	否	847
49	10:00	郑州	白城	1	150	69	否	973
50	10:00	荔波	佛山	4	89	34	否	3373
51	19:30	阿拉善左	井冈山	7	76	28	否	2023
52	19:50	松原	重庆	1	139	121	否	1587
53	19:20	珠海	吐鲁番	5	154	81	否	810
54	02:00	南通	六盘水	5	116	85	否	1718
55	09:20	梧州	攀枝花	2	98	26	否	3483
56	13:00	红原	武隆	6	205	106	否	3048
57	17:20	齐齐哈尔	建三江	3	167	51	否	1188
58	09:20	秦皇岛	洛阳	1	119	34	否	2564
59	08:50	恩施	徐州	3	239	185	否	1210
60	18:10	金门	泉州	2	58	40	否	1539
61	03:50	安顺	马公	1	140	94	否	3262
62	22:20	攀枝花	香港	1	162	141	否	2583
63	06:50	通化	丹东	1	81	33	否	344
64	01:10	马祖	衢州	6	52	16	否	3818
65	08:10	荔波	格尔木	1	80	59	否	3597
2021 12 3 96
66	21:30	秦皇岛	太原	4	166	123	否	1157
67	03:40	北海	阜阳	1	183	130	否	3484
68	11:50	西宁	延安	5	221	114	否	263
69	14:10	漠河	南昌	7	105	39	否	3127
70	05:30	景德镇	十堰	7	58	33	否	3823
71	10:10	吕梁	百色	3	126	76	否	2329
72	04:10	阿里	上海	3	173	16	否	2303
73	23:20	张掖	莎车	5	76	24	否	1858
74	18:20	武夷山	哈尔滨	1	81	53	否	648
75	07:50	三亚	井冈山	6	72	64	否	153
76	07:00	二连浩特	井冈山	3	193	164	否	2194
77	12:00	成都	淮安	7	118	58	否	844
78	13:50	陇南	凯里	2	159	79	否	940
79	13:20	马祖	广州	2	53	17	否	3903
80	12:40	承德	泉州	7	234	22	否	709
81	13:50	承德	松原	6	225	126	否	396
82	06:50	齐齐哈尔	长治	2	72	11	否	938
83	11:00	万州	三亚	6	61	46	否	212
84	11:40	海口	沧源	5	179	63	否	3076
85	09:40	吕梁	哈尔滨	2	159	137	否	3001
86	12:20	西安	毕节	1	58	20	否	2096
87	16:30	鞍山	武汉	4	130	9	否	936
88	03:30	营口	延吉	6	159	28	否	2974
89	09:20	徐州	嘉义	3	203	150	否	1874
90	17:10	榆林	台南	6	201	60	否	1360
91	21:20	徐州	祁连	2	53	6	否	3901
92	06:20	九江	泉州	1	98	24	否	817
93	13:00	喀什	临沧	1	96	37	否	3451
94	19:40	兰州	台东	2	242	236	否	332
95	10:10	延安	洛阳	1	131	122	否	2623
96	02:40	深圳	石河子	1	165	40	否	1474
97	21:10	无锡	临汾	3	63	50	否	1095
98	19:50	塔城	阿克苏	5	127	94	否	1627
99	07:50	揭阳	岳阳	1	96	0	否	1357
100	16:10	石河子	中卫	1	73	11	否	746
101	09:20	额济纳旗	锦州	2	59	2	否	3669
102	01:50	锦州	昆明	6	150	2	否	2794
103	20:00	襄阳	松原	1	138	125	否	3292
104	16:40	吕梁	连云港	5	58	18	否	3450
105	09:20	松原	梧州	7	70	18	否	2966
106	05:50	哈密	六盘水	7	74	61	否	2593
107	08:50	铜仁	大庆	3	106	16	否	2346
108	02:30	张家口	南充	4	250	62	否	3052
109	12:00	南通	武夷山	7	155	73	否	753
110	23:50	大庆	库车	6	94	6	否	1001
111	12:30	宜宾	安庆	5	77	14	否	133
