班次	起飞时间	起点站	终点站	飞行时间	额定载量	已订票	是否起飞	价格
2022 1 8 10000
1	09:30	台东	宜春	7	54	26	否	3693
2	08:20	宜春	吕梁	4	111	103	否	639
3	15:40	吕梁	义乌	4	120	66	否	3430
4	10:50	台州	杭州	6	73	12	否	2954
5	16:10	佳木斯	百色	2	65	36	否	287
6	15:40	果洛	九江	1	203	182	否	3758
7	22:10	锡林浩特	台南	3	62	8	否	1292
8	09:10	二连浩特	丽江	7	129	88	否	916
9	00:20	襄阳	南昌	7	239	107	否	1214
10	08:50	巴中	锦州	1	70	29	否	3617
11	01:40	台南	厦门	7	53	35	否	968
12	06:30	兴义	巫山	1	94	36	否	3328
13	16:40	高雄	宜春	5	240	82	否	647
14	20:50	扎兰屯	东营	4	150	20	否	3795
15	00:30	林芝	固原	1	140	0	否	194
16	02:10	连云港	九江	1	232	85	否	3232
17	01:10	达州	乌海	4	139	22	否	1403
18	17:20	昌都	嘉义	3	240	45	否	318
19	12:10	鸡西	丹东	7	176	137	否	1350
20	20:00	成都	张家口	7	54	12	否	1354
21	10:50	康定	荆门	4	96	23	否	1427
22	02:00	铜仁	黑河	5	234	225	否	3574
23	20:30	乌海	成都	3	157	126	否	220
24	12:30	和田	西昌	5	222	162	否	784
25	11:00	连云港	烟台	6	90	89	否	1583
26	12:20	吐鲁番	通化	2	77	34	否	2875
27	16:10	十堰	怀化	5	143	110	否	1992
28	03:00	霍林郭勒	阿拉善右	3	206	112	否	2777
29	04:10	安庆	兴义	1	80	75	否	2622
30	09:40	高雄	威海	3	146	134	否	3416
31	00:00	杭州	乌鲁木齐	3	177	163	否	497
32	15:20	临汾	济宁	1	234	73	否	1228
33	22:40	若羌	临沧	5	138	37	否	215
34	16:50	营口	武隆	7	71	43	否	555
35	13:40	宜春	唐山	7	64	13	否	1452
36	03:30	延安	兰州	5	102	34	否	2681
37	08:50	黑河	玉树	3	182	11	否	401
38	01:00	丹东	昭通	6	212	200	否	779
39	14:10	烟台	泸州	1	94	2	否	1494
40	20:30	大同	昭通	1	172	168	否	598
41	02:00	荔波	合肥	2	106	76	否	142
42	13:10	锦州	澜沧	1	131	83	否	731
43	04:50	吕梁	毕节	7	82	2	否	1906
