班次	起飞时间	起点站	终点站	飞行时间	额定载量	已订票	是否起飞	价格
2022 1 9 32217
1	07:10	湛江	临沂	1	65	23	否	548
2	15:20	临沂	天水	7	100	60	否	2765
3	23:00	天水	信阳	7	79	35	否	1427
4	03:50	青岛	济南	3	75	69	否	3017
5	17:10	张掖	金门	5	76	72	否	1571
6	06:00	红原	芒市	1	128	126	否	2411
7	07:20	台北	西安	2	137	42	否	1410
8	08:20	南充	佳木斯	4	90	45	否	2440
9	09:40	毕节	敦煌	1	167	85	否	3861
10	20:30	琼海	拉萨	4	221	92	否	2081
11	17:10	鄂尔多斯	鞍山	1	192	100	否	320
12	02:40	连云港	佳木斯	2	78	64	否	3791
13	07:30	宜昌	河池	3	60	26	否	3901
14	03:00	保山	珠海	7	112	39	否	2938
15	04:50	秦皇岛	邵阳	1	174	117	否	385
16	23:40	兴义	荔波	5	81	7	否	178
17	18:50	西双版纳	烟台	4	165	2	否	3945
18	09:00	泉州	台北	4	220	175	否	3355
19	18:10	温州	大同	5	244	104	否	3329
20	16:50	日喀则	天水	5	205	163	否	2284
21	12:50	普洱	绵阳	4	96	57	否	2905
22	23:00	三亚	库车	1	183	6	否	2159
23	09:40	阿里	桂林	3	146	28	否	2568
24	21:50	武汉	南竿	1	219	87	否	1842
25	11:00	扎兰屯	吐鲁番	3	64	13	否	702
26	05:30	海口	呼和浩特	7	206	52	否	154
27	18:10	若羌	稻城	5	194	63	否	3212
28	06:30	龙岩	杭州	3	153	123	否	160
29	08:20	红原	哈尔滨	1	174	136	否	3437
30	02:20	荆州	呼伦贝尔	6	219	30	否	1836
31	21:10	徐州	柳州	1	84	24	否	1866
32	11:00	金昌	衡阳	1	83	13	否	2344
33	03:20	延安	西双版纳	6	75	22	否	2417
34	16:40	阿尔山	台南	5	79	25	否	2433
35	02:30	池州	黎平	1	58	54	否	2828
36	19:10	西昌	宜昌	4	104	84	否	2708
37	03:50	朝阳	库尔勒	1	62	52	否	3690
38	13:50	乌海	吕梁	5	142	28	否	108
39	16:20	台北	保山	2	89	41	否	3609
40	23:50	富蕴	忻州	3	242	169	否	2302
41	10:40	乌兰察布	上海	3	164	125	否	232
42	02:20	神农架	阿拉善左	7	57	18	否	3000
43	17:00	巴中	佳木斯	6	58	20	否	2933
44	07:10	腾冲	西安	1	131	49	否	1110
45	06:20	海拉尔	阿尔山	4	88	7	否	517
46	07:20	高雄	武隆	1	107	64	否	1217
47	03:00	阿克苏	金昌	6	78	48	否	3222
48	19:20	台中	牡丹江	1	176	126	否	331
49	08:20	北京	丽江	4	53	40	否	3191
50	12:40	北京	广州	3	67	59	否	1325
51	07:00	金门	丽江	1	171	13	否	2387
52	11:40	阿克苏	陇南	1	189	70	否	3895
53	08:50	丽江	佳木斯	3	84	55	否	1632
54	17:50	天水	朝阳	7	147	51	否	823
55	12:00	河池	南昌	5	151	72	否	515
56	22:20	盐城	菏泽	3	139	39	否	2666
57	14:10	玉树	二连浩特	1	99	61	否	1675
58	21:20	喀什	赣州	3	190	149	否	1461
59	12:50	库尔勒	扬州	5	105	69	否	1187
60	14:30	扬州	包头	2	102	82	否	1484
61	09:50	昆明	十堰	5	76	65	否	2367
62	09:20	广州	济南	1	168	45	否	3926
63	21:40	荆门	柳州	1	113	74	否	3677
64	17:20	揭阳	日喀则	7	88	13	否	2403
65	02:30	惠州	秦皇岛	1	161	87	否	3969
66	21:50	黑河	天水	7	213	180	否	2877
67	01:40	常德	库尔勒	5	189	182	否	3713
68	16:20	恩施	洛阳	1	213	191	否	3927
69	01:20	德令哈	大同	1	234	18	否	3195
70	09:40	松原	伊宁	5	89	86	否	666
71	06:40	安顺	烟台	6	65	56	否	3755
72	10:00	抚远	珠海	7	162	58	否	1017
73	14:00	荆门	琼海	2	67	19	否	1975
74	21:50	台北	安庆	5	105	65	否	2383
75	04:40	池州	日喀则	1	94	63	否	1199
76	09:30	锦州	玉树	2	94	19	否	126
77	01:00	牡丹江	临沂	2	95	45	否	3450
78	16:10	阿拉善右	青岛	6	178	70	否	805
79	21:50	洛阳	吐鲁番	7	87	4	否	176
80	11:40	通辽	东营	2	71	36	否	1124
81	02:30	梅州	烟台	1	117	113	否	3976
82	19:00	嘉义	唐山	7	68	51	否	1930
83	00:00	北京	大理	7	249	95	否	2027
84	01:20	长春	宜昌	6	202	194	否	130
85	16:10	漠河	舟山	5	68	65	否	3604
86	06:00	怀化	景德镇	1	107	29	否	964
87	12:10	扬州	阿拉善左	3	66	34	否	2270
88	19:50	普洱	花莲	1	90	1	否	200
89	20:30	张家口	承德	1	52	46	否	355
90	09:10	贵阳	新源	4	196	82	否	3090
91	18:40	巴彦淖尔	红原	1	198	157	否	673
