班次	起飞时间	起点站	终点站	飞行时间	额定载量	已订票	是否起飞	价格
2022 1 2 59
1	13:50	黔江	芜湖	3	180	24	否	1067
2	05:10	白城	格尔木	4	94	30	否	457
3	06:30	格尔木	琼海	3	99	14	否	228
4	15:00	三明	昆明	1	173	169	否	640
5	18:10	五大连池	松原	3	90	13	否	176
6	17:00	中国台东	秦皇岛	2	236	13	否	879
7	04:40	海口	六盘水	3	51	8	否	3900
8	04:20	百色	上海	1	179	92	否	3429
9	12:50	博乐	连云港	6	75	1	否	2998
10	02:40	伊宁	库车	6	84	6	否	1598
11	18:50	漠河	迪庆	5	124	8	否	2371
12	20:20	太原	阿尔山	3	184	92	否	231
13	01:40	梅州	台州	7	79	14	否	2201
14	18:20	铜仁	芒市	1	72	32	否	2455
15	17:10	昆明	温州	7	249	204	否	3400
16	05:40	昆明	西安	1	62	39	否	3877
17	02:30	恩施	二连浩特	5	81	53	否	630
18	15:10	德令哈	泉州	3	203	83	否	3541
19	07:00	日照	莎车	2	226	39	否	716
20	16:30	乌兰浩特	巫山	1	121	7	否	1922
21	07:30	上海	中卫	7	66	3	否	2144
22	10:20	泸州	徐州	4	238	175	否	3882
23	12:10	赤峰	邯郸	6	150	12	否	505
24	05:10	武夷山	神农架	5	238	24	否	3901
25	00:20	安顺	襄阳	6	166	97	否	111
26	03:20	锦州	安顺	4	208	149	否	1997
27	02:30	常德	武夷山	2	99	22	否	1405
28	20:50	通化	六盘水	3	221	167	否	2279
29	20:10	西昌	丹东	2	129	94	否	2239
30	17:10	扎兰屯	黔江	2	100	24	否	2581
31	07:10	中国马祖	海拉尔	1	61	4	否	787
32	04:00	桂林	佳木斯	4	226	38	否	3498
33	12:40	芜湖	齐齐哈尔	3	165	23	否	2045
34	14:40	加格达奇	巫山	1	249	118	否	1060
35	20:00	邯郸	台州	6	113	7	否	2959
36	15:10	泉州	金昌	7	151	103	否	3971
37	08:50	阿勒泰	北海	1	101	79	否	1103
38	08:10	延安	安庆	4	57	32	否	1316
39	01:20	石家庄	玉树	5	133	109	否	1437
40	11:30	盐城	中国澳门	6	55	42	否	3806
41	16:10	巴彦淖尔	遵义	3	122	69	否	1538
42	00:50	大庆	乌兰察布	7	97	75	否	444
43	06:40	抚远	芒市	5	89	76	否	1237
44	01:40	龙岩	天水	7	62	31	否	3566
45	12:30	红原	二连浩特	3	209	108	否	3452
46	06:00	中卫	阿勒泰	1	88	38	否	751
47	03:10	广州	十堰	5	197	141	否	1544
48	17:50	张家口	义乌	3	121	75	否	3304
49	04:30	日照	莎车	7	223	118	否	3396
50	18:20	南充	白城	1	230	178	否	240
51	23:20	红原	万州	7	104	98	否	280
52	19:40	二连浩特	凯里	2	223	127	否	1250
53	15:50	丽江	昆明	1	97	12	否	3140
54	20:10	天水	惠州	1	116	83	否	3649
55	12:00	大连	普洱	1	66	46	否	2300
56	14:00	延安	普洱	4	228	211	否	2369
57	06:00	扬州	绵阳	5	84	74	否	1664
58	11:20	大同	安顺	6	164	127	否	163
59	16:00	丽江	杭州	4	107	53	否	3950
2022 1 3 61
60	23:40	承德	宜宾	1	86	0	否	1763
61	22:30	加格达奇	赣州	5	108	38	否	372
62	13:40	伊宁	中国台东	1	72	27	否	1346
63	19:10	中国澳门	三亚	4	93	72	否	1399
64	18:10	黑河	乌鲁木齐	3	164	75	否	1211
65	18:10	潍坊	温州	1	176	21	否	2600
66	04:20	通辽	澜沧	6	74	48	否	1411
67	16:00	洛阳	漠河	6	246	161	否	1840
68	00:20	松原	井冈山	5	222	44	否	2269
69	11:20	德令哈	漠河	4	230	199	否	1782
70	10:40	中国马祖	额济纳旗	7	225	196	否	1430
71	06:00	敦煌	海拉尔	6	178	137	否	456
72	16:10	阿拉善右	凯里	7	132	64	否	3475
73	08:20	西宁	德令哈	2	230	29	否	880
74	23:40	鞍山	梧州	3	212	58	否	2498
75	21:10	庆阳	北京	4	189	38	否	3148
76	03:30	中国香港	锦州	1	96	83	否	3722
77	02:50	百色	石河子	1	219	90	否	1493
78	02:30	泉州	中国台南	3	74	41	否	2830
79	20:00	兴义	临汾	7	86	7	否	935
80	17:10	重庆	乌兰察布	1	81	53	否	544
81	08:10	扎兰屯	银川	2	89	42	否	1580
82	04:00	澜沧	白城	6	118	27	否	1759
83	20:40	大庆	惠州	7	174	55	否	3475
84	01:30	岳阳	温州	1	155	35	否	3836
85	19:00	邯郸	若羌	4	227	106	否	3459
86	12:40	鸡西	达州	5	50	15	否	2978
87	12:50	若羌	大庆	5	217	151	否	2504
88	12:50	大同	果洛	1	66	4	否	2327
89	11:40	南昌	庆阳	1	52	12	否	2565
90	11:50	昆明	新源	1	234	121	否	3296
91	21:10	安顺	日照	1	247	122	否	1158
92	01:40	莎车	承德	1	100	23	否	1667
93	23:20	徐州	巫山	5	58	50	否	973
94	09:10	黄山	若羌	6	230	117	否	1404
95	22:20	芒市	宜昌	2	86	16	否	2931
96	01:20	无锡	张掖	7	60	18	否	826
97	23:30	太原	哈尔滨	4	249	230	否	3597
98	05:20	芒市	广元	1	93	71	否	349
99	00:00	吕梁	遵义	1	160	4	否	436
100	19:30	宜宾	宁蒗	5	88	73	否	2172
101	05:00	抚远	赣州	5	53	5	否	1229
102	00:00	鄂尔多斯	昆明	5	218	39	否	299
103	10:10	昌都	文山	5	70	57	否	1125
104	08:10	大理	嘉峪关	3	205	33	否	430
105	14:50	布尔津	南宁	7	60	33	否	1780
106	09:50	昌都	通化	6	212	90	否	1780
107	13:50	荔波	秦皇岛	7	96	7	否	1368
108	07:50	霍林郭勒	海拉尔	1	58	21	否	2687
109	05:20	杭州	红原	3	232	140	否	2280
110	16:50	荆州	恩施	2	175	60	否	2435
111	09:20	腾冲	稻城	7	147	109	否	374
112	09:30	阿拉善左	南充	6	86	17	否	1145
113	16:40	二连浩特	营口	1	156	64	否	116
114	23:20	塔城	朝阳	2	85	8	否	2549
115	21:40	景德镇	阿勒泰	4	83	59	否	951
116	14:40	黄山	张家口	3	68	26	否	2647
117	23:20	昭通	加格达奇	7	141	66	否	3319
118	12:40	三亚	潍坊	5	247	216	否	2002
119	10:10	荔波	沈阳	7	54	43	否	1307
120	05:10	伊春	鞍山	7	71	66	否	874
2022 1 4 98
121	13:20	芒市	兰州	5	200	191	否	2263
122	12:10	中国台北	南充	3	167	13	否	1072
123	11:20	建三江	安顺	6	149	132	否	2300
124	09:30	天水	乌鲁木齐	7	159	127	否	2093
125	01:00	康定	毕节	5	200	1	否	3776
126	13:40	阜阳	桂林	2	81	18	否	3922
127	08:40	琼海	珠海	3	101	54	否	2367
128	18:40	呼伦贝尔	通辽	4	140	7	否	1434
129	08:00	哈尔滨	武夷山	1	228	197	否	3176
130	10:20	中国金门	北京	6	183	107	否	127
131	11:30	温州	九寨沟	1	50	8	否	242
132	12:30	抚远	神农架	1	76	14	否	1416
133	18:40	扎兰屯	乌拉特中	1	192	95	否	465
134	11:50	呼伦贝尔	运城	7	236	165	否	2028
135	21:50	迪庆	忻州	4	211	88	否	3111
136	23:20	克拉玛依	琼海	1	52	18	否	2999
137	13:00	库尔勒	哈尔滨	3	181	60	否	2772
138	09:30	攀枝花	秦皇岛	6	155	79	否	926
139	13:40	丽江	百色	7	71	19	否	1081
140	17:50	巴彦淖尔	格尔木	1	218	213	否	3028
141	03:40	中国花莲	鞍山	1	100	24	否	907
142	02:20	哈密	重庆	2	86	4	否	3410
143	03:00	腾冲	哈密	1	65	7	否	3387
144	04:20	扬州	哈密	2	225	150	否	510
145	20:20	徐州	杭州	2	110	49	否	1563
146	00:00	中国金门	昭通	3	66	34	否	808
147	07:40	黎平	荔波	3	231	47	否	1422
148	00:30	柳州	鄂尔多斯	5	184	15	否	1580
149	06:20	中国马祖	荔波	6	99	6	否	180
150	11:00	扬州	乌鲁木齐	1	164	53	否	335
151	10:40	井冈山	阿尔山	4	219	212	否	3988
152	03:30	夏河	中国高雄	1	69	34	否	3293
153	19:40	汉中	常德	6	162	83	否	439
154	02:40	黎平	邯郸	5	224	49	否	2610
155	19:10	金昌	兰州	5	214	109	否	2249
156	15:20	长治	宜春	7	85	64	否	2587
157	10:50	延吉	富蕴	1	144	4	否	125
158	21:30	哈密	三亚	6	58	54	否	1652
159	18:50	六盘水	锦州	4	153	91	否	570
160	11:50	额济纳旗	井冈山	5	78	40	否	1806
161	04:50	莎车	洛阳	7	73	2	否	2389
162	12:20	芜湖	济宁	5	98	49	否	128
163	16:30	汉中	中卫	3	242	10	否	166
164	00:20	祁连	日喀则	6	150	128	否	699
165	00:20	阿拉善右	且末	1	57	38	否	2203
166	00:10	佛山	天津	1	77	68	否	2108
167	04:50	通化	毕节	2	136	47	否	1170
168	13:40	龙岩	扎兰屯	7	228	150	否	2895
169	22:20	承德	西双版纳	6	205	21	否	303
170	16:20	攀枝花	西安	2	233	20	否	302
171	22:30	梅州	芜湖	7	151	84	否	1880
172	10:30	保山	富蕴	2	222	166	否	2190
173	14:30	大理	上饶	7	132	105	否	2932
174	04:10	芜湖	潍坊	1	220	96	否	169
175	07:30	伊宁	井冈山	4	164	120	否	3720
176	15:00	武夷山	莎车	6	70	34	否	1021
